Columna,Media,Varianza,Desviación Estándar
Rendimiento_AAPL,0.001002546832673324,0.00043043434605831844,0.02074691172339436
Rendimiento_AZN,0.0005171141041749984,0.0002913605210182586,0.017069285896552867
Rendimiento_DELL,0.0018792183819943424,0.0007175006581581806,0.026786202757355895
Rendimiento_DIS,4.617339439071918e-05,0.0004987084045398446,0.02233178014713213
Rendimiento_IBM,0.0007055919015305809,0.0002983214002042031,0.017271983099928136
Rendimiento_INTC,6.466459429496273e-05,0.000677854947769119,0.026035647634908548
Rendimiento_META,0.0012669610859457712,0.0008719280677429131,0.029528428128549496
Rendimiento_MSFT,0.0011384876176828232,0.00040492008358440786,0.02012262616023087
Rendimiento_NVDA,0.003119649949258959,0.0011570361710627687,0.03401523439670479
Rendimiento_SONY,0.0003791804390609211,0.0003544010354623872,0.018825542102749317
